ID,P1H,P2H,P3H,P4H,P5H,P1V,P2V,P3V,P4V,P5V,Plus_Off,Minus_Def,Plus/Minus,Home_Poss_Off,Home_Poss_Def,Poss_Tot,Time,Off_Rating,Def_Rating,Net_Rating,h,Season
254420268516283981629060162963716296731630559163110816417311642273,2544,1629060,1629637,1630559,1631108,202685,1628398,1629673,1641731,1642273,18,26,-8,15,17,32,4490,120.0,152.94117647058823,-32.94117647058823,0.12549019607843137,2024-25
1629637162967316305591631108164173116261581629020163055716422611642267,1629637,1630559,1631108,1629673,1641731,1629020,1642261,1626158,1630557,1642267,1,3,-2,2,2,4,690,50.0,150.0,-100.0,1.0,2024-25
1626158162902016296731630559164226116290031630551163055716419981642267,1630559,1629673,1629020,1642261,1626158,1630557,1642267,1629003,1641998,1630551,7,4,3,4,3,7,680,175.0,133.33333333333331,41.666666666666686,0.5833333333333334,2024-25
1626158162902016296731630557164226125441629003163055116419981642267,1629673,1629020,1642261,1626158,1630557,1642267,1629003,1641998,1630551,2544,2,6,-4,2,3,5,780,100.0,200.0,-100.0,0.8333333333333334,2024-25
1629020162967316305571642261164226725441628398162900316305511641998,1629673,1629020,1642261,1630557,1642267,1629003,1641998,1630551,2544,1628398,0,3,-3,1,0,1,141,0.0,,,inf,2024-25
1629020162967316305571642261164226725441628398162900316290601630551,1629673,1629020,1642261,1630557,1642267,1629003,1630551,2544,1628398,1629060,1,0,1,0,1,1,76,,0.0,,inf,2024-25
1629003162902016305571642261164226725441628398162906016305511641731,1629020,1642261,1630557,1642267,1629003,1630551,2544,1628398,1629060,1641731,0,0,0,1,1,2,319,0.0,0.0,0.0,2.0,2024-25
1629003162902016305571642261164226725441628398162906016296731641731,1629020,1642261,1630557,1642267,1629003,2544,1628398,1629060,1629673,1641731,0,0,0,1,0,1,24,0.0,,,inf,2024-25
2544162839816290031630557164226116261581629060163021516305511641998,1642261,1630557,1629003,2544,1628398,1629060,1641998,1626158,1630215,1630551,6,7,-1,5,5,10,1560,120.0,140.0,-20.0,0.4,2024-25
254416283981629003162906016422612026851629637163021516305511642273,1642261,1629003,2544,1628398,1629060,1630215,1630551,1629637,202685,1642273,0,4,-4,3,3,6,650,0.0,133.33333333333331,-133.33333333333331,0.6666666666666666,2024-25
254416283981629003162906016296372026851629673163055916417311642273,1629003,2544,1628398,1629060,1629637,202685,1642273,1630559,1629673,1641731,0,0,0,1,2,3,500,0.0,0.0,0.0,1.5,2024-25
254420268516290031629060162963716296731630559164173116422671642273,1629003,2544,1629060,1629637,202685,1642273,1630559,1629673,1641731,1642267,0,4,-4,2,1,3,300,0.0,400.0,-400.0,1.5,2024-25
202685162900316290601629637164227316296731630559163110816417311642267,1629003,1629060,1629637,202685,1642273,1630559,1629673,1641731,1642267,1631108,2,2,0,1,2,3,500,200.0,100.0,100.0,1.5,2024-25
202685162900316290601630559164227316296731631108164173116419981642267,1629003,1629060,202685,1642273,1630559,1629673,1641731,1642267,1631108,1641998,5,10,-5,6,5,11,1750,83.33333333333334,200.0,-116.66666666666666,0.36666666666666664,2024-25
1630559163110816417311642267164227325441628398162902016296371630557,1642273,1630559,1641731,1642267,1631108,2544,1629020,1629637,1628398,1630557,0,7,-7,5,5,10,1310,0.0,140.0,-140.0,0.4,2024-25
2544163055916311081641731164227316261581628398162902016296371630557,1642273,1630559,1641731,1631108,2544,1629020,1629637,1628398,1630557,1626158,2,0,2,0,0,0,89,,,,,2024-25
2544162902016305591641731164227316261581628398162900316296371630557,1642273,1630559,1641731,2544,1629020,1629637,1628398,1630557,1626158,1629003,1,2,-1,2,2,4,526,50.0,100.0,-50.0,1.0,2024-25
