Player_Name,Coefficient,Possessions
Jaden Ivey,1.744437025077312,19832
Ziaire Williams,1.6974386363001257,11870
Dennis Schröder,1.5455931712332882,23947
Torrey Craig,1.525857821833654,11586
Saddiq Bey,1.4870274962882037,16540
Toumani Camara,1.4710512145610934,16216
Jerami Grant,1.3607299117981895,22366
Shaedon Sharpe,1.3416747263860502,18227
Deandre Ayton,1.319820804919467,18289
Devin Booker,1.3109868308492005,24733
John Collins,1.2869029185181278,20531
Jordan Clarkson,1.2635324054596127,18693
Damian Lillard,1.2362670149988613,27313
Mikal Bridges,1.2272706211554674,31554
LaMelo Ball,1.1959616067486507,14446
Fred VanVleet,1.1581865465817611,25887
Andrew Nembhard,1.1443542608344903,20351
Zach Collins,1.1441813415065953,14520
Herbert Jones,1.134226665800321,17199
Ayo Dosunmu,1.0993061650890124,21716
Trey Lyles,1.0971684795070518,12475
Kelly Oubre Jr.,1.0784158011337537,21739
Mark Williams,1.043016596846515,8966
Jonas Valančiūnas,0.9743032224541763,19841
Kyle Kuzma,0.9737480079560132,25491
Will Barton,0.9627851680266326,3671
Josh Richardson,0.9613394285435811,10629
Christian Braun,0.9577303847522457,19502
Josh Hart,0.9533195714360583,28292
Isaiah Livers,0.9322051032612239,5986
Kevin Porter Jr.,0.9194483619413565,12286
Jalen Johnson,0.9162291798247678,16585
Alec Burks,0.8873187116922051,12064
KJ Martin,0.8712492025705069,14507
Davion Mitchell,0.852415182671518,15463
Keldon Johnson,0.8409402484726605,23215
Talen Horton-Tucker,0.8287885062498775,10621
Luke Kennard,0.8118148827999816,13495
Georges Niang,0.7943591532912957,17887
Delon Wright,0.7809551018381666,8756
Pascal Siakam,0.7800295929980593,28740
Killian Hayes,0.7724106027278692,12354
Chris Paul,0.7706509251014483,19545
Zaccharie Risacher,0.7596548633930941,6659
Deni Avdija,0.7457574052412393,23990
JaMychal Green,0.7422452599577873,3311
Lonnie Walker IV,0.7297107577482143,9666
Isaiah Stewart,0.7237481646833447,17164
Miles Bridges,0.7119306690300011,16800
Bruno Fernando,0.6992042416919505,4075
Jeff Green,0.6850805510198719,9679
Anthony Davis,0.6653581038882599,22322
Dejounte Murray,0.6633984799796161,24400
Noah Clowney,0.6597713748742636,4642
Matas Buzelis,0.6586493905453712,5265
D'Angelo Russell,0.6556302905733253,22989
Marcus Morris Sr.,0.6524962603936952,9892
Scoot Henderson,0.6491358551597982,13121
Kelly Olynyk,0.6468900166161027,16409
Jarace Walker,0.6396977298100132,5427
Yves Missi,0.635809977968868,7198
Keita Bates-Diop,0.6211789557373577,7739
Nick Smith Jr.,0.613579829253891,7376
Patrick Beverley,0.6130937926543659,11451
Kyshawn George,0.6017849506326622,7050
Malik Beasley,0.5819366551155143,25073
Nikola Vučević,0.5756381899879939,27837
Malcolm Brogdon,0.5699758795772828,12947
Dāvis Bertāns,0.5650394162318068,3614
Justin Edwards,0.5540649991082008,4062
Brandon Miller,0.5486032604249135,11858
Kevin Knox II,0.5381619791669525,5346
Javonte Green,0.5360081829170481,6876
Bogdan Bogdanović,0.5337920152134156,18742
Jordan Poole,0.5337236603229006,26439
Lauri Markkanen,0.5335814761577862,22235
Mason Plumlee,0.5238028644818751,14959
Jose Alvarado,0.5229505279733775,13781
Sam Merrill,0.5147601721644137,8728
P.J. Washington,0.5140475662049501,24164
Amir Coffey,0.509804906712617,14152
Nick Richards,0.4954280072774315,15531
Austin Rivers,0.493287740990483,4225
Anthony Edwards,0.49051176300974353,30240
Jae'Sean Tate,0.48660739916146095,8942
Keyonte George,0.47442554445902674,14739
Evan Fournier,0.47059216051417146,3452
Nic Claxton,0.46823706444718177,22397
Yuta Watanabe,0.46169724286230257,5279
Isaiah Jackson,0.4608348882742892,6834
James Wiseman,0.4587322142276486,6347
Jordan Hawkins,0.4579645166801441,9795
Joe Harris,0.45606689088719704,6457
Zeke Nnaji,0.4554957060087767,6728
Chuma Okeke,0.45298140818303134,3933
Theo Maledon,0.45149429695727666,3328
Reggie Jackson,0.44413038020891965,14007
Trayce Jackson-Davis,0.4401509753796879,7436
De'Andre Hunter,0.43265898792810714,20805
Usman Garuba,0.4209849652798233,3718
DeAndre Jordan,0.4151650721633077,5871
Ivica Zubac,0.4025079132680799,23387
Malaki Branham,0.3841737877903218,12636
Goran Dragic,0.3798802019921007,3277
Rui Hachimura,0.3790167447146939,18161
Tristan da Silva,0.378904442244696,5937
Jalen Green,0.3743150997446761,28613
Scotty Pippen Jr.,0.36583533760818393,7488
Andre Drummond,0.3574994140257913,10932
Max Strus,0.3502197191268159,20376
Jamal Shead,0.3406386123714621,5080
Zach LaVine,0.3395430013794906,22782
Duop Reath,0.33721476427208447,6073
Aleksej Pokusevski,0.33674356088044993,3842
Eugene Omoruyi,0.3334378148377666,3173
GG Jackson,0.32831405448087664,5440
Thomas Bryant,0.32721804359453416,9292
Coby White,0.3237086803980241,25333
David Roddy,0.32283363893705075,10634
Alex Sarr,0.31943148471012706,6607
Daniel Theis,0.31394218328482376,6632
Kyle Filipowski,0.31358476660934403,5346
Vince Williams Jr.,0.3131853725874552,7536
Wenyen Gabriel,0.3128712314586793,4036
Julian Phillips,0.3070371967982071,5365
Justin Champagnie,0.3040295864267921,5000
Bones Hyland,0.3038099040363436,6328
Caleb Houstan,0.3017675385060592,7916
Malachi Flynn,0.29976246446684884,5468
Terrence Ross,0.2996705925910854,4535
Oshae Brissett,0.29825749719412126,6715
Lamar Stevens,0.2964270277616155,5769
Wendell Carter Jr.,0.29283281157767527,17068
Seth Curry,0.2925265996226085,10762
Tyler Herro,0.2925067356462901,23163
Cody Martin,0.29248389424276766,7825
Anthony Gill,0.2922719516806802,4527
Craig Porter Jr.,0.29119262242398725,3877
Guerschon Yabusele,0.29111270197403843,6947
Gordon Hayward,0.29047609014210307,10899
Jalen Suggs,0.2851742508734608,15561
Russell Westbrook,0.2802945139652261,21533
Chris Duarte,0.27794527338965874,6774
Bruce Brown,0.26751303189094283,18417
Nikola Jović,0.266299415772701,8092
Maxi Kleber,0.2662632772583039,8661
Isaiah Collier,0.2633980663715265,6810
Vasilije Micić,0.256484125861575,6784
Max Christie,0.2523268464571605,13627
Amen Thompson,0.2508946248372483,12785
Jay Huff,0.24726383770690985,3184
Karl-Anthony Towns,0.24576097748473372,19471
Harrison Barnes,0.23809474455335813,25997
Moses Moody,0.2296445375868594,12657
Spencer Dinwiddie,0.22832054417446626,25074
Jordan Goodwin,0.22687521246280928,8525
Ish Smith,0.22651485632566282,4198
Gary Trent Jr.,0.2246634993723855,22098
Matisse Thybulle,0.2217938021979256,10695
AJ Green,0.21636371772892588,9339
Brandon Boston,0.21339949417462517,5829
Ben Simmons,0.18931879776961125,9974
Kyle Anderson,0.1862760584370719,16250
Shake Milton,0.17637010730038444,11246
Neemias Queta,0.1737215462458651,4224
Jamal Cain,0.1734726663130494,3016
Jaime Jaquez Jr.,0.17331007404543486,12754
Devonte' Graham,0.17194428811493778,5451
Kessler Edwards,0.17189406539970464,4429
T.J. McConnell,0.17178832569822522,15685
Terence Davis,0.16424361084258604,3160
Isaiah Hartenstein,0.15842637710778434,18238
Anfernee Simons,0.1581377700528633,24088
Jaden McDaniels,0.15619894197923742,25212
Bradley Beal,0.15418514310421566,18794
Collin Sexton,0.1532835109228856,19096
Taj Gibson,0.1458668843218932,3742
Caris LeVert,0.14411045208673676,20165
Jeremy Sochan,0.14293658139964205,20551
Jaylen Brown,0.1420434697427661,25686
Terance Mann,0.1383000159109437,18242
Jared Butler,0.13684053209665573,4839
Kevon Looney,0.1356987429663937,15662
Simone Fontecchio,0.13560282696241313,13854
Bryce McGowens,0.12785442601579336,5584
Jericho Sims,0.1227702347941074,7663
Kel'el Ware,0.11943712093776214,4716
Bojan Bogdanović,0.11235441444624258,12948
Jimmy Butler III,0.10973357025687495,20188
Dillon Brooks,0.10839294879499066,25012
Thaddeus Young,0.10051887144332228,4729
Ochai Agbaji,0.10040529887361625,16209
Nikola Jokić,0.10004792136656925,28155
Tobias Harris,0.09858582276828237,26682
Scottie Barnes,0.09475496893620873,25666
Joe Ingles,0.09412486204716491,8207
Gradey Dick,0.08668780653751394,10462
Lindy Waters III,0.08605288515901338,5398
Cameron Johnson,0.07910699453911155,16690
Walker Kessler,0.06448453629273809,18949
Haywood Highsmith,0.0637052718490226,14158
Immanuel Quickley,0.06279168930503728,18801
Paul Reed,0.06234934673026533,9295
Taurean Prince,0.06051841297742983,20061
Sandro Mamukelashvili,0.05696851316283509,4633
Tyrese Haliburton,0.0518168004534629,24963
Daniel Gafford,0.05155561160039246,17375
Kyle Lowry,0.05028907151358052,14754
Reggie Bullock Jr.,0.050137985905885266,9460
Terry Rozier,0.047608916461842996,22972
Markelle Fultz,0.04136681103009055,9898
Quentin Grimes,0.03671286758921518,18546
Marcus Sasser,0.03591279833686181,7621
Trae Young,0.02005897900567913,27971
Jeremiah Robinson-Earl,0.018599245942644803,8364
Grant Williams,0.014491256183999223,16778
Chris Boucher,0.013661345114326621,11213
Romeo Langford,0.009019836255522004,3027
Eric Gordon,0.008388181242406817,17387
Keon Johnson,0.006503821567440862,8552
Stephen Curry,0.0017995690317844021,24114
AJ Griffin,0.0004512962128141282,5796
Bol Bol,0.00013833716084334747,9162
Jamison Battle,-0.0005610393831741833,3234
Doug McDermott,-0.0036892896960324354,9866
Khris Middleton,-0.005460684811179187,11867
Landry Shamet,-0.006045377354890762,7798
Ronald Holland II,-0.00616037655879221,4699
Gary Harris,-0.007967228703411348,11055
Dereck Lively II,-0.009297853538188745,8346
Shai Gilgeous-Alexander,-0.009592667913466612,29135
Steven Adams,-0.010524071847037948,7378
Jalen Brunson,-0.011926867240316752,26600
Tari Eason,-0.013387451837489536,13551
Kevin Love,-0.021034692465753298,8807
Paolo Banchero,-0.02195424106851914,24345
