,actionNumber,teamId,scoreHome,scoreAway,description,actionType,subType,time,location,newPossession,possession,possessionCount
0,2,0,0,0,Start of 1st Period (7:43 PM EST),period,start,0.0,,False,,0
1,4,1610612748,0,0,Jump Ball Ware vs. Carter Jr.: Tip to Black,Jump Ball,,0.0,h,True,ORL,1
2,8,1610612753,0,2,Carter Jr. 12' Turnaround Fadeaway (2 PTS) (Banchero 1 AST),Made Shot,Turnaround Fadeaway shot,190.0,v,False,ORL,1
3,10,1610612748,0,2,Ware Bad Pass Turnover (P1.T1),Turnover,Bad Pass,440.0,h,True,MIA,2
4,10,1610612753,0,2,Carter Jr. STEAL (1 STL),,,440.0,v,True,ORL,3
5,12,1610612753,0,2,MISS Banchero 26' 3PT Jump Shot,Missed Shot,Jump Shot,530.0,v,False,ORL,3
6,13,1610612748,0,2,Ware REBOUND (Off:0 Def:1),Rebound,Unknown,550.0,h,True,MIA,4
7,14,1610612748,2,2,Ware 1' Dunk (2 PTS) (Herro 1 AST),Made Shot,Dunk Shot,620.0,h,False,MIA,4
8,16,1610612748,2,2,Ware S.FOUL (P1.T1) (J.Ralls),Foul,Shooting,840.0,h,True,ORL,5
9,18,1610612753,2,3,Carter Jr. Free Throw 1 of 2 (3 PTS),Free Throw,Free Throw 1 of 2,840.0,v,False,ORL,5
10,19,1610612753,2,4,Carter Jr. Free Throw 2 of 2 (4 PTS),Free Throw,Free Throw 2 of 2,840.0,v,False,ORL,5
11,20,1610612748,2,4,MISS Robinson 26' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,920.0,h,True,MIA,6
12,21,1610612753,2,4,Banchero REBOUND (Off:0 Def:1),Rebound,Unknown,940.0,v,True,ORL,7
13,22,1610612753,2,4,MISS Banchero 25' 3PT Pullup Jump Shot,Missed Shot,Pullup Jump shot,1020.0,v,False,ORL,7
14,23,0,2,4,HEAT Rebound,Rebound,Unknown,1030.0,h,True,MIA,8
15,25,1610612748,2,4,MISS Herro 25' 3PT Jump Shot,Missed Shot,Jump Shot,1220.0,h,False,MIA,8
16,25,1610612753,2,4,Black BLOCK (1 BLK),,,1220.0,v,False,MIA,8
17,26,1610612753,2,4,Wagner REBOUND (Off:0 Def:1),Rebound,Unknown,1260.0,v,True,ORL,9
18,27,1610612753,2,4,MISS Wagner 4' Running Layup,Missed Shot,Running Layup Shot,1310.0,v,False,ORL,9
19,28,1610612748,2,4,Adebayo REBOUND (Off:0 Def:1),Rebound,Unknown,1340.0,h,True,MIA,10
20,29,1610612748,4,4,Robinson 2' Driving Floating Jump Shot (2 PTS) (Highsmith 1 AST),Made Shot,Driving Floating Jump Shot,1410.0,h,False,MIA,10
21,31,1610612753,4,4,MISS Wagner 1' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,1630.0,v,True,ORL,11
22,32,1610612748,4,4,Herro REBOUND (Off:0 Def:1),Rebound,Unknown,1660.0,h,True,MIA,12
23,33,1610612753,4,4,Banchero S.FOUL (P1.T1) (J.Goldenberg),Foul,Shooting,1680.0,v,False,MIA,12
24,35,1610612748,5,4,Adebayo Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1680.0,h,False,MIA,12
25,36,1610612748,6,4,Adebayo Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,1680.0,h,False,MIA,12
26,39,1610612753,6,4,Carter Jr. Bad Pass Turnover (P1.T1),Turnover,Bad Pass,1820.0,v,True,ORL,13
27,39,1610612748,6,4,Adebayo STEAL (1 STL),,,1820.0,h,True,MIA,14
28,41,1610612748,6,4,Adebayo Out of Bounds Lost Ball Turnover (P1.T2),Turnover,Out of Bounds Lost Ball Turnover,1820.0,h,False,MIA,14
29,42,1610612748,6,4,Ware S.FOUL (P2.T2) (J.Ralls),Foul,Shooting,1900.0,h,True,ORL,15
30,44,1610612753,6,4,MISS Wagner Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,1900.0,v,False,ORL,15
31,45,0,6,4,Magic Rebound,Rebound,Normal Rebound,1900.0,v,False,ORL,15
32,46,1610612748,6,4,SUB: Jović FOR Ware,Substitution,,1900.0,h,False,ORL,15
33,49,1610612753,6,5,Wagner Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,1900.0,v,False,ORL,15
34,50,1610612748,8,5,Adebayo 9' Jump Shot (4 PTS) (Herro 2 AST),Made Shot,Jump Shot,2030.0,h,True,MIA,16
35,52,1610612753,8,5,Caldwell-Pope Out of Bounds - Bad Pass Turnover Turnover (P1.T2),Turnover,Out of Bounds - Bad Pass Turnover,2280.0,v,True,ORL,17
36,53,1610612748,8,5,MISS Robinson 25' 3PT Jump Shot,Missed Shot,Jump Shot,2480.0,h,True,MIA,18
37,54,1610612748,8,5,Highsmith REBOUND (Off:1 Def:0),Rebound,Unknown,2520.0,h,False,MIA,18
38,55,1610612748,10,5,Highsmith 1' Putback Layup (2 PTS),Made Shot,Putback Layup Shot,2530.0,h,False,MIA,18
39,56,1610612748,10,5,Highsmith P.FOUL (P1.T3) (J.Goldenberg),Foul,Personal,2600.0,h,True,ORL,19
40,59,1610612753,10,5,Black Bad Pass Turnover (P1.T3),Turnover,Bad Pass,2640.0,v,False,ORL,19
41,59,1610612748,10,5,Highsmith STEAL (1 STL),,,2640.0,h,True,MIA,20
42,61,1610612748,12,5,Herro 3' Running Layup (2 PTS) (Highsmith 2 AST),Made Shot,Running Layup Shot,2680.0,h,False,MIA,20
43,63,1610612753,12,8,Wagner 25' 3PT Pullup Jump Shot (4 PTS),Made Shot,Pullup Jump shot,2920.0,v,True,ORL,21
44,64,1610612748,15,8,Jović 25' 3PT Jump Shot (3 PTS) (Herro 3 AST),Made Shot,Jump Shot,3040.0,h,True,MIA,22
45,66,1610612753,15,8,MISS Banchero 13' Pullup Jump Shot,Missed Shot,Pullup Jump shot,3180.0,v,True,ORL,23
