,actionNumber,teamId,scoreHome,scoreAway,description,actionType,subType,time,location,newPossession,possession,possessionCount
0,2,0,0,0,Start of 1st Period (10:18 PM EST),period,start,0.0,,False,,0
1,4,1610612757,0,0,Jump Ball Ayton vs. Jackson-Davis: Tip to Grant,Jump Ball,,0.0,h,True,POR,1
2,7,1610612757,2,0,Grant 20' Pullup Jump Shot (2 PTS) (Ayton 1 AST),Made Shot,Pullup Jump shot,170.0,h,False,POR,1
3,9,1610612744,2,0,MISS Wiggins 26' 3PT Jump Shot,Missed Shot,Jump Shot,320.0,v,True,GSW,2
4,10,1610612757,2,0,Avdija REBOUND (Off:0 Def:1),Rebound,Unknown,340.0,h,True,POR,3
5,11,1610612757,2,0,MISS Grant 27' 3PT Running Jump Shot,Missed Shot,Running Jump Shot,400.0,h,False,POR,3
6,12,1610612757,2,0,Ayton REBOUND (Off:1 Def:0),Rebound,Unknown,430.0,h,False,POR,3
7,13,1610612757,2,0,MISS Simons 26' 3PT Jump Shot,Missed Shot,Jump Shot,490.0,h,False,POR,3
8,14,1610612744,2,0,Jackson-Davis REBOUND (Off:0 Def:1),Rebound,Unknown,520.0,v,True,GSW,4
9,15,1610612757,2,0,Simons S.FOUL (P1.T1) (T.Ford),Foul,Shooting,590.0,h,False,GSW,4
10,17,1610612744,2,0,MISS Kuminga Free Throw 1 of 2,Free Throw,Free Throw 1 of 2,590.0,v,False,GSW,4
11,18,0,2,0,Warriors Rebound,Rebound,Normal Rebound,590.0,v,False,GSW,4
12,19,1610612744,2,1,Kuminga Free Throw 2 of 2 (1 PTS),Free Throw,Free Throw 2 of 2,590.0,v,False,GSW,4
13,20,1610612757,5,1,Camara 26' 3PT Jump Shot (3 PTS) (Simons 1 AST),Made Shot,Jump Shot,680.0,h,True,POR,5
14,22,1610612744,5,1,MISS Kuminga 3' Layup,Missed Shot,Layup Shot,890.0,v,True,GSW,6
15,22,1610612757,5,1,Grant BLOCK (1 BLK),,,890.0,h,False,GSW,6
16,24,1610612744,5,1,Kuminga REBOUND (Off:1 Def:0),Rebound,Unknown,910.0,v,False,GSW,6
17,25,1610612744,5,1,MISS Wiggins 30' 3PT Jump Shot,Missed Shot,Jump Shot,960.0,v,False,GSW,6
18,26,1610612744,5,1,Wiggins REBOUND (Off:1 Def:0),Rebound,Unknown,990.0,v,False,GSW,6
19,27,1610612744,5,1,MISS Curry 26' 3PT Jump Shot,Missed Shot,Jump Shot,1020.0,v,False,GSW,6
20,28,1610612757,5,1,Ayton REBOUND (Off:1 Def:1),Rebound,Unknown,1050.0,h,True,POR,7
21,29,1610612757,5,1,MISS Ayton 4' Turnaround Bank Hook Shot,Missed Shot,Turnaround Bank Hook Shot,1200.0,h,False,POR,7
22,30,1610612744,5,1,Curry REBOUND (Off:0 Def:1),Rebound,Unknown,1210.0,v,True,GSW,8
23,31,1610612744,5,1,MISS Wiggins 2' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1260.0,v,False,GSW,8
24,31,1610612757,5,1,Avdija BLOCK (1 BLK),,,1260.0,h,False,GSW,8
25,32,1610612757,5,1,Grant REBOUND (Off:0 Def:1),Rebound,Unknown,1280.0,h,True,POR,9
26,33,1610612757,8,1,Simons 28' 3PT Jump Shot (3 PTS) (Grant 1 AST),Made Shot,Jump Shot,1380.0,h,False,POR,9
27,35,1610612757,8,1,Camara S.FOUL (P1.T2) (D.Collins),Foul,Shooting,1470.0,h,True,GSW,10
28,37,1610612744,8,2,Curry Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,1470.0,v,False,GSW,10
29,38,1610612744,8,3,Curry Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,1470.0,v,False,GSW,10
30,39,1610612757,10,3,Ayton 1' Driving Dunk (2 PTS) (Simons 2 AST),Made Shot,Driving Dunk Shot,1580.0,h,True,POR,11
31,41,1610612744,10,3,Green Bad Pass Turnover (P1.T1),Turnover,Bad Pass,1660.0,v,True,GSW,12
32,41,1610612757,10,3,Avdija STEAL (1 STL),,,1660.0,h,True,POR,13
33,43,1610612757,10,3,MISS Grant 3' Running Layup,Missed Shot,Running Layup Shot,1690.0,h,False,POR,13
34,43,1610612744,10,3,Green BLOCK (1 BLK),,,1690.0,v,False,POR,13
35,45,1610612744,10,3,Green REBOUND (Off:0 Def:1),Rebound,Unknown,1720.0,v,True,GSW,14
36,46,1610612744,10,3,MISS Curry 3PT Running Pull-Up Jump Shot,Missed Shot,Running Pull-Up Jump Shot,1800.0,v,False,GSW,14
37,47,1610612757,10,3,Avdija REBOUND (Off:0 Def:2),Rebound,Unknown,1840.0,h,True,POR,15
38,48,1610612757,10,3,MISS Avdija 5' Driving Floating Jump Shot,Missed Shot,Driving Floating Jump Shot,1930.0,h,False,POR,15
39,49,1610612744,10,3,Jackson-Davis REBOUND (Off:0 Def:2),Rebound,Unknown,1950.0,v,True,GSW,16
40,50,1610612744,10,3,MISS Kuminga 3PT Jump Shot,Missed Shot,Jump Shot,2100.0,v,False,GSW,16
41,51,1610612744,10,3,Jackson-Davis REBOUND (Off:1 Def:2),Rebound,Unknown,2140.0,v,False,GSW,16
42,52,1610612744,10,3,Kuminga Lost Ball Turnover (P1.T2),Turnover,Lost Ball,2180.0,v,False,GSW,16
43,52,1610612757,10,3,Grant STEAL (1 STL),,,2180.0,h,True,POR,17
44,55,1610612744,10,3,Kuminga P.FOUL (P1.T1) (D.Collins),Foul,Personal,2310.0,v,False,POR,17
45,57,1610612757,10,3,MISS Grant 21' Pullup Jump Shot,Missed Shot,Pullup Jump shot,2390.0,h,False,POR,17
46,58,1610612744,10,3,Kuminga REBOUND (Off:1 Def:1),Rebound,Unknown,2410.0,v,True,GSW,18
47,59,1610612757,10,3,Grant P.FOUL (P1.T3) (D.Collins),Foul,Personal,2510.0,h,False,GSW,18
48,61,0,10,3,Warriors Timeout: Regular (Reg.1 Short 0),Timeout,Regular,2510.0,v,False,GSW,18
49,62,1610612744,10,3,MISS Curry 26' 3PT Jump Shot,Missed Shot,Jump Shot,2580.0,v,False,GSW,18
50,63,1610612757,10,3,Ayton REBOUND (Off:1 Def:2),Rebound,Unknown,2600.0,h,True,POR,19
51,64,1610612757,10,3,MISS Ayton 3PT Jump Shot,Missed Shot,Jump Shot,2810.0,h,False,POR,19
52,65,1610612744,10,3,Curry REBOUND (Off:0 Def:2),Rebound,Unknown,2830.0,v,True,GSW,20
53,66,1610612744,10,3,MISS Wiggins 4' Driving Hook Shot,Missed Shot,Driving Hook Shot,2940.0,v,False,GSW,20
54,67,1610612757,10,3,Avdija REBOUND (Off:0 Def:3),Rebound,Unknown,2960.0,h,True,POR,21
55,68,1610612757,12,3,Simons 1' Running Layup (5 PTS),Made Shot,Running Layup Shot,3000.0,h,False,POR,21
56,69,1610612757,12,3,Simons S.FOUL (P2.T4) (T.Maddox),Foul,Shooting,3140.0,h,True,GSW,22
57,71,1610612744,12,4,Jackson-Davis Free Throw 1 of 2 (1 PTS),Free Throw,Free Throw 1 of 2,3140.0,v,False,GSW,22
58,72,1610612757,12,4,SUB: Henderson FOR Simons,Substitution,,3140.0,h,False,GSW,22
59,73,1610612744,12,4,SUB: Hield FOR Kuminga,Substitution,,3140.0,v,False,GSW,22
60,76,1610612744,12,5,Jackson-Davis Free Throw 2 of 2 (2 PTS),Free Throw,Free Throw 2 of 2,3140.0,v,False,GSW,22
61,77,1610612757,12,5,MISS Grant 25' 3PT Jump Bank Shot,Missed Shot,Jump Bank Shot,3280.0,h,True,POR,23
62,78,1610612744,12,5,Curry REBOUND (Off:0 Def:3),Rebound,Unknown,3300.0,v,True,GSW,24
63,79,1610612744,12,7,Green Running Layup (2 PTS) (Curry 1 AST),Made Shot,Running Layup Shot,3330.0,v,False,GSW,24
64,81,1610612757,14,7,Ayton 1' Driving Dunk (4 PTS) (Grant 2 AST),Made Shot,Driving Dunk Shot,3480.0,h,True,POR,25
65,83,1610612744,14,7,MISS Hield 3PT Jump Shot,Missed Shot,Jump Shot,3640.0,v,True,GSW,26
66,84,1610612757,14,7,Henderson REBOUND (Off:0 Def:1),Rebound,Unknown,3670.0,h,True,POR,27
67,85,1610612757,14,7,MISS Henderson 2' Driving Reverse Layup,Missed Shot,Driving Reverse Layup Shot,3740.0,h,False,POR,27
68,86,1610612744,14,7,Green REBOUND (Off:0 Def:2),Rebound,Unknown,3760.0,v,True,GSW,28
69,87,1610612744,14,7,MISS Hield 3' Running Layup,Missed Shot,Running Layup Shot,3800.0,v,False,GSW,28
70,87,1610612757,14,7,Avdija BLOCK (2 BLK),,,3800.0,h,False,GSW,28
71,89,0,14,7,Warriors Rebound,Rebound,Unknown,3810.0,v,False,GSW,28
72,91,1610612744,14,7,SUB: Payton II FOR Jackson-Davis,Substitution,,3810.0,v,False,GSW,28
73,93,1610612744,14,9,Wiggins 1' Cutting Dunk Shot (2 PTS) (Curry 2 AST),Made Shot,Cutting Dunk Shot,3860.0,v,False,GSW,28
74,95,1610612757,16,9,Ayton 1' Alley Oop Layup (6 PTS) (Grant 3 AST),Made Shot,Alley Oop Layup shot,4010.0,h,True,POR,29
75,97,1610612744,16,9,MISS Payton II 3PT Jump Shot,Missed Shot,Jump Shot,4160.0,v,True,GSW,30
76,98,1610612757,16,9,Avdija REBOUND (Off:0 Def:4),Rebound,Unknown,4190.0,h,True,POR,31
77,99,1610612744,16,9,Hield P.FOUL (P1.T2) (T.Ford),Foul,Personal,4260.0,v,False,POR,31
78,101,1610612757,16,9,SUB: Murray FOR Grant,Substitution,,4260.0,h,False,POR,31
79,102,1610612744,16,9,SUB: Podziemski FOR Wiggins,Substitution,,4260.0,v,False,POR,31
80,103,1610612744,16,9,SUB: Looney FOR Green,Substitution,,4260.0,v,False,POR,31
81,107,1610612757,16,9,MISS Henderson 1' Driving Layup,Missed Shot,Driving Layup Shot,4310.0,h,False,POR,31
82,107,1610612744,16,9,Looney BLOCK (1 BLK),,,4310.0,v,False,POR,31
83,108,1610612757,16,9,Henderson REBOUND (Off:1 Def:1),Rebound,Unknown,4320.0,h,False,POR,31
84,109,1610612757,18,9,Henderson 1' Putback Layup (2 PTS),Made Shot,Putback Layup Shot,4330.0,h,False,POR,31
85,110,1610612744,18,9,MISS Curry 2' Driving Finger Roll Layup,Missed Shot,Driving Finger Roll Layup Shot,4460.0,v,True,GSW,32
86,111,1610612757,18,9,Camara REBOUND (Off:0 Def:1),Rebound,Unknown,4480.0,h,True,POR,33
87,112,1610612757,18,9,Avdija Lost Ball Turnover (P1.T1),Turnover,Lost Ball,4550.0,h,False,POR,33
88,112,1610612744,18,9,Payton II STEAL (1 STL),,,4550.0,v,True,GSW,34
89,114,1610612744,18,11,Payton II 2' Running Layup (2 PTS),Made Shot,Running Layup Shot,4590.0,v,False,GSW,34
90,115,1610612757,18,11,Avdija Offensive Charge Foul (P1) (T.Maddox),Foul,Offensive Charge,4780.0,h,True,POR,35
91,117,1610612757,18,11,Avdija Offensive Foul Turnover (P2.T2),Turnover,Offensive Foul Turnover,4780.0,h,False,POR,35
92,118,1610612744,18,13,Payton II 1' Cutting Layup Shot (4 PTS) (Looney 1 AST),Made Shot,Cutting Layup Shot,5000.0,v,True,GSW,36
93,120,1610612757,18,13,Henderson Lost Ball Turnover (P1.T3),Turnover,Lost Ball,5080.0,h,True,POR,37
94,120,1610612744,18,13,Podziemski STEAL (1 STL),,,5080.0,v,True,GSW,38
95,122,1610612757,18,13,Murray S.FOUL (P1.PN) (T.Maddox),Foul,Shooting,5120.0,h,False,GSW,38
96,124,0,18,13,TRAIL BLAZERS Timeout: Regular (Full 1 Short 0),Timeout,Regular,5120.0,h,False,GSW,38
97,126,1610612757,18,13,SUB: Rupert FOR Avdija,Substitution,,5120.0,h,False,GSW,38
98,127,1610612757,18,13,SUB: Simons FOR Camara,Substitution,,5120.0,h,False,GSW,38
